2025-05-25T06:37:30.991Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 2 [Risk viewed or clicked] 
2025-05-25T06:38:05.668Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 5 [Risk viewed or clicked] 
2025-05-25T06:38:05.672Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 5 [Risk viewed or clicked] 
2025-05-25T06:38:13.662Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:09:26.009Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:18:28.295Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:20:46.862Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:21:30.646Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:21:32.086Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 3 [Risk viewed or clicked] 
2025-05-25T21:21:32.184Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 3 [Risk viewed or clicked] 
2025-05-25T21:21:34.630Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 1 [Risk viewed or clicked] 
2025-05-25T21:21:34.680Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 1 [Risk viewed or clicked] 
2025-05-25T21:21:34.776Z [ERROR] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Error viewing user risks: 'datetime.date' object has no attribute 'utcoffset' 
2025-05-25T21:21:36.977Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 3 [Risk viewed or clicked] 
2025-05-25T21:21:36.993Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 3 [Risk viewed or clicked] 
2025-05-25T21:21:39.618Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 4 [Risk viewed or clicked] 
2025-05-25T21:21:39.667Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 4 [Risk viewed or clicked] 
2025-05-25T21:21:42.116Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 1 [Risk viewed or clicked] 
2025-05-25T21:21:42.128Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 1 [Risk viewed or clicked] 
2025-05-25T21:21:42.186Z [ERROR] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Error viewing user risks: 'datetime.date' object has no attribute 'utcoffset' 
2025-05-25T21:25:51.874Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskMetrics | Details: Viewing risk metrics dashboard [Risk viewed or clicked] 
2025-05-25T21:25:55.864Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:27:42.112Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:28:10.052Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:28:11.854Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:28:14.548Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 1 [Risk viewed or clicked] 
2025-05-25T21:28:14.612Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 1 [Risk viewed or clicked] 
2025-05-25T21:30:27.424Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:30:29.412Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:30:33.848Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing reviewer tasks for user 1 [Risk viewed or clicked] 
2025-05-25T21:30:33.859Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskInstance | Details: Viewing risks assigned to user 1 [Risk viewed or clicked] 
2025-05-25T21:30:38.378Z [INFO] [RISK] Risk Module - Action: UPDATE on RiskMitigation | Details: Updating mitigation status for risk 20 to Work In Progress [Risk updated] 
2025-05-25T21:30:41.625Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskMitigation | Details: Viewing mitigations for risk 20 [Risk viewed or clicked] 
2025-05-25T21:30:41.771Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing latest review for risk 20 [Risk viewed or clicked] 
2025-05-25T21:30:41.845Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing assigned reviewer for risk 20 [Risk viewed or clicked] 
2025-05-25T21:31:09.291Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskMitigation | Details: Viewing mitigations for risk 19 [Risk viewed or clicked] 
2025-05-25T21:31:09.452Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing latest review for risk 19 [Risk viewed or clicked] 
2025-05-25T21:31:09.530Z [DEBUG] [RISK] Risk Module - Action: VIEW on RiskReview | Details: Viewing assigned reviewer for risk 19 [Risk viewed or clicked] 
2025-05-25T21:32:57.214Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:49:39.911Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:51:33.338Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:52:26.895Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:53:18.004Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:53:28.926Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:55:41.988Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-25T21:56:03.943Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T03:55:41.756Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T04:30:02.406Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T04:51:34.718Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
2025-05-26T04:51:41.660Z [INFO] [USER] User Module - Action: VIEW on CustomUser | Details: Viewing custom users 
